epoch,reward
0,-1723.977243898918
1,-1491.26885090295
2,-1497.8936248249793
3,-1495.8585949924432
4,-1167.970909611196
5,-1058.9786988760422
6,-1009.1456012155734
7,-992.4671842425174
8,-1011.1050498844711
9,-825.5781566669534
10,-530.8063005323019
11,-740.7194364599158
12,-656.9333334734943
13,-477.131201980637
14,-352.9071743463438
15,-332.47728761088393
16,-334.5116803012828
17,-394.54055960613243
18,-420.7941370885113
19,-481.8313719611838
20,-590.8776040503242
21,-235.02585879817318
22,-206.32482957406492
23,-178.7837398424139
24,-169.36355229359808
25,-144.62798509609473
26,-177.781979452579
27,-168.71973199445745
28,-175.37431863461362
29,-158.33025759392268
30,-189.86906320976243
31,-153.6978730644324
32,-158.20628405695845
33,-173.99786005757917
34,-174.27889623400014
35,-169.04966715864447
36,-170.70988923658714
37,-170.46377604649365
38,-159.90267249567657
39,-188.2988297645614
40,-186.1075452336818
41,-168.81226754424205
42,-161.83835865067988
43,-172.13962891136742
44,-196.3052199867078
45,-162.99290980002942
46,-154.9386802575915
47,-167.32393516398344
48,-173.4347637676283
49,-174.95019681128161
50,-141.66618944647036
51,-169.92841275908276
52,-182.20752794347518
53,-169.3692787955707
54,-178.7125793350417
55,-152.91576826951635
56,-157.69180348979845
57,-157.75272240362884
58,-169.55006108477278
59,-170.47777784757804
60,-174.7817347592565
61,-166.03943864940268
62,-157.24148170476855
63,-161.2579207769206
64,-169.28847916654328
65,-158.69885617050946
66,-176.05323891733514
67,-163.0742357519379
68,-165.3605289837806
69,-181.62296917540888
70,-162.52488550359146
71,-151.40468487528707
72,-157.50768234424942
73,-166.71737118485012
74,-157.5048171385179
75,-167.61440341333775
76,-173.03503322128887
77,-151.1303490993775
78,-168.9891920678169
79,-160.18992287392405
80,-169.35947490023733
81,-163.24523299848303
82,-166.565692138687
83,-173.35800170506624
84,-148.47567014664298
85,-156.56677866956642
86,-176.3103268208368
87,-159.0048861669084
88,-173.09549279913725
89,-155.87547025954646
90,-165.76509050751258
91,-166.77955921571618
92,-166.6287663468194
93,-173.3785592721228
94,-160.6418548362921
95,-154.45382947857001
96,-156.43843988405163
97,-167.89249426792063
98,-164.80981741824945
99,-167.76992658625656
